	V1	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	config	gwas_size	test_size	h2	ts	num_causal	env
1	1	-0.00862544542787004	0.00251933514500003	0	0.359	0.835	-0.00862544542787004	0.00251933514500003	1	1000	B1	C1	10000	10000	0	0.5	300	0
2	2	-0.01693180425875	-0.00955628492499994	0	0.082	0.467	-0.01693180425875	-0.00955628492499994	FGr	1000	B1	C1	10000	10000	0	0.5	300	0
3	3	0.00225910779939499	0.022734967205	0	0.803	0.065	0.00225910779939499	0.022734967205	NoCorrection	1000	B1	C1	10000	10000	0	0.5	300	0
4	4	-0.0128000317845501	-0.00159838158500011	0	0.18	0.896	-0.0128000317845501	-0.00159838158500011	ID	1000	B1	C1	10000	10000	0	0.5	300	0
5	5	-0.00689827675890021	-0.0049945829150003	0	0.411	0.736	-0.00689827675890021	-0.0049945829150003	1	1000	B1	C1	10000	10000	0	0.5	300	0.1
6	6	-0.00485611637749978	-0.00231496939500017	0	0.581	0.877	-0.00485611637749978	-0.00231496939500017	FGr	1000	B1	C1	10000	10000	0	0.5	300	0.1
7	7	0.02961746464595	0.0702548599599999	0	0	0	0.02961746464595	0.0702548599599999	NoCorrection	1000	B1	C1	10000	10000	0	0.5	300	0.1
8	8	-0.00632290782157616	-0.00533464677499987	0	0.464	0.699	-0.00632290782157616	-0.00533464677499987	ID	1000	B1	C1	10000	10000	0	0.5	300	0.1
9	9	0.00739060355615001	0.0101105675299999	0	0.432	0.461	0.00739060355615001	0.0101105675299999	1	1000	B1	C1	10000	10000	0	0.5	300	0.5
10	10	0.0544231022901	0.12247007704	0	0	0	0.0544231022901	0.12247007704	FGr	1000	B1	C1	10000	10000	0	0.5	300	0.5
11	11	0.3694495166357	0.827380001220003	0	0	0	0.3694495166357	0.827380001220003	NoCorrection	1000	B1	C1	10000	10000	0	0.5	300	0.5
12	12	0.010680182626	0.0203497994	0	0.277	0.124	0.010680182626	0.0203497994	ID	1000	B1	C1	10000	10000	0	0.5	300	0.5
13	13	-0.00221740823107499	-0.00534290519	0	0.812	0.71	-0.00221740823107499	-0.00534290519	1	1000	B1	C1	10000	10000	0	0.5	300	1
14	14	0.0748096617456491	0.189233902675	0	0	0	0.0748096617456491	0.189233902675	FGr	1000	B1	C1	10000	10000	0	0.5	300	1
15	15	0.697779760649749	1.59812437095	0	0	0	0.697779760649749	1.59812437095	NoCorrection	1000	B1	C1	10000	10000	0	0.5	300	1
16	16	-0.00737702842261472	-0.01686830959	0	0.381	0.192	-0.00737702842261472	-0.01686830959	ID	1000	B1	C1	10000	10000	0	0.5	300	1
17	17	0.00968606448417498	0.00933623315999997	0	0.254	0.644	0.00968606448417498	0.00933623315999997	1	10000	B1	C1	10000	10000	0	0.5	300	0
18	18	0.00924523499729998	0.00776958876499997	0	0.283	0.682	0.00924523499729998	0.00776958876499997	FGr	10000	B1	C1	10000	10000	0	0.5	300	0
